Top-N,RAND,RANK-RATING,CF-G,LDA-G,STL,DL-CNN,RTM-G,RTM-GH,BRTM-SEP,BRTM-Sample
1,"0.007
(+2425.0%)",0.000,"0.164
(+1.0%)","0.031
(+431.6%)","0.159
(+4.1%)","0.131
(+26.2%)","0.102
(+62.9%)","0.126
(+31.2%)","0.175
(+-5.6%)",0.166
2,"0.020
(+1291.7%)",0.000,"0.261
(+5.0%)","0.061
(+351.4%)","0.261
(+5.0%)","0.190
(+44.0%)","0.175
(+56.1%)","0.218
(+25.6%)","0.269
(+1.8%)",0.274
3,"0.031
(+989.5%)","0.002
(+20600.0%)","0.343
(+-1.0%)","0.093
(+263.2%)","0.339
(+0.0%)","0.215
(+58.0%)","0.221
(+53.3%)","0.303
(+11.9%)","0.343
(+-1.0%)",0.339
4,"0.048
(+762.1%)","0.005
(+8233.3%)","0.390
(+5.0%)","0.115
(+257.1%)","0.387
(+5.9%)","0.243
(+68.9%)","0.264
(+55.3%)","0.372
(+10.1%)","0.384
(+6.8%)",0.410
5,"0.056
(+714.7%)","0.008
(+5440.0%)","0.438
(+3.7%)","0.138
(+229.8%)","0.433
(+4.9%)","0.261
(+74.2%)","0.300
(+51.4%)","0.420
(+8.2%)","0.431
(+5.3%)",0.454
6,"0.062
(+705.3%)","0.016
(+2960.0%)","0.490
(+2.3%)","0.157
(+218.7%)","0.477
(+5.2%)","0.284
(+76.9%)","0.339
(+47.8%)","0.461
(+8.9%)","0.470
(+6.6%)",0.502
7,"0.072
(+636.4%)","0.025
(+2060.0%)","0.536
(+-0.9%)","0.170
(+211.5%)","0.523
(+1.6%)","0.313
(+69.6%)","0.374
(+42.1%)","0.502
(+5.9%)","0.495
(+7.3%)",0.531
8,"0.080
(+581.6%)","0.043
(+1184.6%)","0.572
(+-4.3%)","0.189
(+190.4%)","0.562
(+-2.6%)","0.351
(+56.1%)","0.395
(+38.6%)","0.530
(+3.4%)","0.516
(+6.0%)",0.548
9,"0.097
(+496.6%)","0.061
(+851.4%)","0.597
(+-3.3%)","0.200
(+188.5%)","0.593
(+-2.8%)","0.370
(+55.8%)","0.413
(+39.7%)","0.541
(+6.7%)","0.536
(+7.6%)",0.577
10,"0.102
(+483.9%)","0.079
(+654.2%)","0.626
(+-5.2%)","0.221
(+168.1%)","0.615
(+-3.5%)","0.377
(+57.4%)","0.438
(+35.6%)","0.570
(+4.0%)","0.567
(+4.6%)",0.593
