Top-N,RAND,RANK-RATING,CF-G,LDA-G,STL,DL-CNN,RTM-G,RTM-GH,BRTM-SEP,BRTM-Sample
1,0.006557,0.000000,0.163934,0.031148,0.159016,0.131148,0.101639,0.126230,0.175410,0.165574
2,0.019672,0.000000,0.260656,0.060656,0.260656,0.190164,0.175410,0.218033,0.268852,0.273770
3,0.031148,0.001639,0.342623,0.093443,0.339344,0.214754,0.221311,0.303279,0.342623,0.339344
4,0.047541,0.004918,0.390164,0.114754,0.386885,0.242623,0.263934,0.372131,0.383607,0.409836
5,0.055738,0.008197,0.437705,0.137705,0.432787,0.260656,0.300000,0.419672,0.431148,0.454098
6,0.062295,0.016393,0.490164,0.157377,0.477049,0.283607,0.339344,0.460656,0.470492,0.501639
7,0.072131,0.024590,0.536066,0.170492,0.522951,0.313115,0.373770,0.501639,0.495082,0.531148
8,0.080328,0.042623,0.572131,0.188525,0.562295,0.350820,0.395082,0.529508,0.516393,0.547541
9,0.096721,0.060656,0.596721,0.200000,0.593443,0.370492,0.413115,0.540984,0.536066,0.577049
10,0.101639,0.078689,0.626230,0.221311,0.614754,0.377049,0.437705,0.570492,0.567213,0.593443
